data_collector|person_id|side|height.NA|head.height.NA|head.circumference.NA|hand.length.left|hand.length.right|hand.width.left|hand.width.right|hand.elbow.left|hand.elbow.right|elbow.armpit.left|elbow.armpit.right|arm.reach.left|arm.reach.right|arm.span.NA|foot.length.left|foot.length.right|floor.kneepit.left|floor.kneepit.right|floor.hip.left|floor.hip.right|floor.navel.NA|floor.armpit.left|floor.armpit.right|units|writing|eye|eye_color|swinging|age|gender|quality|minutes|ethnicity|notes
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
5a96f81207a7a619ea2574c7e86cda93|cdfdf4d1cb331c85c789c7401a88d6b3|right|143.5|22|56|17|17|19.5|18.5|38|39|27|26|209|208|165|24|23.5|45|46|100|101|103.5|126|126.5|cm|right|left|hazel|right|24|female|10|12|caucasian|possible ancestry may include: Italian, Irish, and Scottish
5a96f81207a7a619ea2574c7e86cda93|9bca8c56351df29d833cbf3ebcb180a1|right|177|24|57|19.5|18.5|20.5|21|41|40|22|22.5|214|215|175|28|27|49|49|102|101|107|137.5|138|cm|right|left|brown|right|27|male|10|15|caucasian|possible ancestry may include: German and Scottish
5a96f81207a7a619ea2574c7e86cda93|3cc0689caba082b5c2c86af1e653b567|right|175|21.5|59.5|19.5|19|19|19.5|40|40.5|23.5|24|217|218.5|175|25.5|26|47|47.5|100|99.5|104|134.5|135.5|cm|right|right|brown|right|17|female|10|13|caucasian|possible ancestry may include: Norwegian, Irish, and mixed European
5a96f81207a7a619ea2574c7e86cda93|efbf977fb9a7ccfc45ac1b7a0ae898fc|right|175|21.5|55.5|19|19|18.5|19|41|42|26|25|219.5|217|174|24.5|25.5|45.5|46|100.5|100.5|103.5|137|135|cm|right|right|brown|right|17|female|10|11|caucasian|possible ancestry may include: Norwegian, Irish, and mixed European
5a96f81207a7a619ea2574c7e86cda93|7acbdef0e0b5009c22a9f9ea31294de5|right|177|22|58|20.5|20|24|24|49|49.5|29|28|234|234.5|181|31|29|50|49|110|109.5|110.5|150|152|cm|right|left|blue|right|17|male|10|12|caucasian|possible ancestry may include: Italian, Irish, and Scottish
5a96f81207a7a619ea2574c7e86cda93|df09e9a8368e050f75a6f2aa89c2c54c|right|166|20|56.5|18.5|19|20|19|40|40.5|32.5|32|205|203.5|160|27.5|27|50|49|100|101|102|132|131.5|cm|right|right|hazel|right|51|female|10|14|caucasian|possible ancestry may include: majority Italian
5a96f81207a7a619ea2574c7e86cda93|d35f30a55820eb88b89350618eb3a171|right|174|22|57.5|19|19|19.5|19.5|44|43.5|22|23.5|222.5|223|175|24.5|24|49|48|102.5|103.5|102|131.5|133|cm|right|right|brown|right|28|female|10|12|caucasian|possible ancestry may include: European and some Guatemalan
5a96f81207a7a619ea2574c7e86cda93|0a02f10d313ea98a111c9e8323ed385e|right|183|23|57.5|19.5|18.5|20.5|20|43|44|21|21|227.5|232.5|172|26.5|27|50|49.5|96|95|109|139|136.5|cm|right|right|blue|right|30|male|10|13|caucasian|possible ancestry may include: majority Polish
5a96f81207a7a619ea2574c7e86cda93|8fb178c3d24b3f5b762d0c82507fd3ed|right|93|20|51|12.5|12|13|13.5|25|25.5|10|10|108|106.5|90.5|15.5|14|23|24|46.5|47|49|70|69|cm|both|NA|brown|both|3|female|8|15|hispanic|possible ancestry may include: majority Guatemalan, very young so has not established a dominant hand and determining dominant eye was not possible
5a96f81207a7a619ea2574c7e86cda93|3409c695fd39d4511ed3dd3d9fa3436f|right|178|23|59.5|20|20|20.5|22|45.5|45|24|23|221.5|221|177|25.5|25|50|51|104|103|104.5|143.5|145|cm|left|left|blue|left|19|male|10|10|caucasian|possible ancestry may include: Italian, Irish, and Scottish
a7380c7fdd4f9c977a007c003e42deb8|f041ccb55bdc946d17630b2682f9d2ee|right|151.13|20.5|53.5|15.5|15.5|18.5|18.5|42.5|42.5|23.5|23.5|198.12|200.3425|154|23.5|23.5|42|42|93.5|93.5|94.5|115.5|115.5|cm|right|right|brown|right|11|female|10|10|white|afghan
a7380c7fdd4f9c977a007c003e42deb8|c4d4662080f2500e189e6e0c061d523b|right|165.1|23|55|19|18.5|19.5|19.5|47|47.5|24.5|24.5|213.995|214.63|176.53|26.5|26.5|46|46|103|103|104|126|126|cm|right|right|brown|right|17|female|10|10|white|afghan
a7380c7fdd4f9c977a007c003e42deb8|bd1d7b0809e4b4ee9ca307aa5308ea6f|right|157.48|20|53.5|16.5|16.5|20.5|20.5|43|43|25.5|25.5|201.295|203.2|165.1|23.5|23.5|40|40|94|94|92.5|123.5|123.5|cm|right|right|brown|right|41|female|10|10|white|afghan
a7380c7fdd4f9c977a007c003e42deb8|df3939f11965e7e75dbc046cd9af1c67|right|174.625|23.5|61|19.5|19.5|23.5|23.5|49.5|49.5|23.5|23.5|230.505|229.87|180.34|26.5|26.5|49|49|103|103|105|133.5|133.5|cm|right|right|hazel|right|45|male|10|10|white|afghan
a7380c7fdd4f9c977a007c003e42deb8|dee1225ded7171820b3b974f86164a65|right|167|22|55|20|20|20|20|45|45|31|31|212|212|171|26|26|50|50|102|102|105|130|130|cm|right|right|brown|right|30|female|9|10|white|afghan
a7380c7fdd4f9c977a007c003e42deb8|aad627aedbaec238fd7f74e3aa3385e5|right|170|24|57|21|21|22|22|46|46|31|31|218|218|175|27|27|50|50|105|105|106|133|133|cm|right|right|brown|right|33|male|9|10|white|afghan
a7380c7fdd4f9c977a007c003e42deb8|571163a3f76efb73cd125ef35b44ea4d|right|154|21|56.2|16.5|16.7|17|17|39.5|39.8|21.1|21|194.7|196|155|23.2|23.5|40.5|40.3|96|96.3|94|122.8|122.4|cm|right|right|brown|right|21|female|9|10|asian|fillipino
a7380c7fdd4f9c977a007c003e42deb8|3a444f015555e4667dec80fd853a5033|right|167.64|24|58.5|18|18|20|20|45.5|45.5|27|27|220.345|220.345|177.8|24|47|47|101|101|101|100|133|133|cm|right|right|brown|right|21|female|9|10|white|afghan
a7380c7fdd4f9c977a007c003e42deb8|3ce80889b3746a483269fb4554f69517|right|185|25|59|20|20|24|23.5|52|52|27|27|228|228|188|30|30|58|58|104|104|108|147|147|cm|right|left|hazel|right|27|male|9|10|latin american|NA
a7380c7fdd4f9c977a007c003e42deb8|bf9017d04f72c1b5ba407971fbf61289|right|172|22|58|17|17|7|7|38|38|18|18|207|207|170|23|23|48|48|35|35|89|106|106|cm|right|right|black|right|24|male|9|10|asian|korean
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc96208F7E65151|left|62.5|9|21.75|6.5|6.75|6.75|6.75|14.75|15|6.5|6.5|79.25|79.5|59.75|9.5|9.5|15.5|15.5|35|35|37|46.75|47|in|Right|Right|Green|Right|31|Female|7.5|15|White|none
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc962081BCAE6A7|left|68|8.25|22|7.25|7.25|3.5|3.75|17|17|9|9|56|56|66|9.25|9|18|18|35|35|41|54|54|in|Right|Right|Hazel|Right|36|Female|8.5|10|White|English, Scottish, Irish, Italian, Slovakian decent
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc96208D879E889|left|71|9.5|22|8|8|8|7.75|17.5|17.5|9|9.5|59|59|74|9.5|9.75|17.5|17.5|41|41|42|55|55|in|Left|Left|Brown|Left|37|Female|8|30|White|English and Russian
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D41|left|175.5|24|59|18.5|18.3|21|20.5|46|46|35|34|146.5|146.5|173|24.2|24.1|40.5|40|99|101|96|136|133|cm|Right|Right|Hazel|Right|37|Male|8|15|White|Welsh
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|cm|Right|Right|Brown|Right|67|Female|6|15|White|Welsh
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D42|left|70|10|23|8|8|10|10|19|19|12|12|90|90|70|10|10|20|20|39|39|42|50|50|in|Right|Right|Brown|Right|21|Male|7|10|Hispanic|Mexican
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|in|Right|Right|Blue|Right|9|Female|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D43|left|63|9|22|8|8|8|8|11|11.5|10|10.5|72|72|60|9.5|9.5|18|18|37|37|39|50|50|in|Right|Left|Hazel|Right|12|Male|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|in|Right|Right|Blue|Right|7|Male|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D44|left|62.5|9|21|7|7|8|8|16.5|17|11|12|26|27|3.5|10|10|21|21|23|22|39|50.5|50|in|Right|Right|Blue|Right|13|Female|8|20|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc96208F7E65151|left|62.5|9|21.75|6.5|6.75|6.75|6.75|14.75|15|6.5|6.5|79.25|79.5|59.75|9.5|9.5|15.5|15.5|35|35|37|46.75|47|in|Right|Right|Green|Right|31|Female|7.5|15|White|none
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc962081BCAE6A7|left|68|8.25|22|7.25|7.25|3.5|3.75|17|17|9|9|56|56|66|9.25|9|18|18|35|35|41|54|54|in|Right|Right|Hazel|Right|36|Female|8.5|10|White|English, Scottish, Irish, Italian, Slovakian decent
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc96208D879E889|left|71|9.5|22|8|8|8|7.75|17.5|17.5|9|9.5|59|59|74|9.5|9.75|17.5|17.5|41|41|42|55|55|in|Left|Left|Brown|Left|37|Female|8|30|White|English and Russian
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D41|left|175.5|24|59|18.5|18.3|21|20.5|46|46|35|34|146.5|146.5|173|24.2|24.1|40.5|40|99|101|96|136|133|cm|Right|Right|Hazel|Right|37|Male|8|15|White|Welsh
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|cm|Right|Right|Brown|Right|67|Female|6|15|White|Welsh
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D42|left|70|10|23|8|8|10|10|19|19|12|12|90|90|70|10|10|20|20|39|39|42|50|50|in|Right|Right|Brown|Right|21|Male|7|10|Hispanic|Mexican
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|in|Right|Right|Blue|Right|9|Female|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D43|left|63|9|22|8|8|8|8|11|11.5|10|10.5|72|72|60|9.5|9.5|18|18|37|37|39|50|50|in|Right|Left|Hazel|Right|12|Male|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|in|Right|Right|Blue|Right|7|Male|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D44|left|62.5|9|21|7|7|8|8|16.5|17|11|12|26|27|3.5|10|10|21|21|23|22|39|50.5|50|in|Right|Right|Blue|Right|13|Female|8|20|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc96208F7E65151|left|62.5|9|21.75|6.5|6.75|6.75|6.75|14.75|15|6.5|6.5|79.25|79.5|59.75|9.5|9.5|15.5|15.5|35|35|37|46.75|47|in|Right|Right|Green|Right|31|Female|7.5|15|White|none
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc962081BCAE6A7|left|68|8.25|22|7.25|7.25|3.5|3.75|17|17|9|9|56|56|66|9.25|9|18|18|35|35|41|54|54|in|Right|Right|Hazel|Right|36|Female|8.5|10|White|English, Scottish, Irish, Italian, Slovakian decent
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc96208D879E889|left|71|9.5|22|8|8|8|7.75|17.5|17.5|9|9.5|59|59|74|9.5|9.75|17.5|17.5|41|41|42|55|55|in|Left|Left|Brown|Left|37|Female|8|30|White|English and Russian
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D41|left|175.5|24|59|18.5|18.3|21|20.5|46|46|35|34|146.5|146.5|173|24.2|24.1|40.5|40|99|101|96|136|133|cm|Right|Right|Hazel|Right|37|Male|8|15|White|Welsh
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|cm|Right|Right|Brown|Right|67|Female|6|15|White|Welsh
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D42|left|70|10|23|8|8|10|10|19|19|12|12|90|90|70|10|10|20|20|39|39|42|50|50|in|Right|Right|Brown|Right|21|Male|7|10|Hispanic|Mexican
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|in|Right|Right|Blue|Right|9|Female|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D43|left|63|9|22|8|8|8|8|11|11.5|10|10.5|72|72|60|9.5|9.5|18|18|37|37|39|50|50|in|Right|Left|Hazel|Right|12|Male|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620818A6683B|left|36|6.5|20|5|5|5.5|5.5|11.25|11.25|6|6|57|57|36|7|7|13|13|24.5|24.5|27|35.5|35|in|Right|Right|Blue|Right|7|Male|7|10|White|NA
411f8b5c9500b7cc928c93dd1a0006b7|1c2408654ef5a2fe1fc9620886294D44|left|62.5|9|21|7|7|8|8|16.5|17|11|12|26|27|3.5|10|10|21|21|23|22|39|50.5|50|in|Right|Right|Blue|Right|13|Female|8|20|White|NA
00b0bc50a5d4c23ebdac6e69cebf284d|cb216e6502316d1466d79b4a18b540cf|right|180.5|26.5|60.5|21.5|21.5|24.5|24|47|47|28|28|233|234|181.5|28.5|28.5|44|44|100.5|100.5|103.5|142.5|142.5|cm|right|left|hazel|right|29|male|10|22|white|possible ancestry may include: german, english
07455b8d275697db40dab95a03f3c208|be6fbe0a469c8ba8b4f2c44e0fe6304d|right|160|20|55.5|18|18|20.5|20.5|39.5|39.5|28|28|206|206|157|25|25.5|40.5|40.5|96.5|96.5|NA|134.5|134.5|cm|right|left|hazel|right|57|female|9|18|white|possible ancestry may include: spanish
21130e0e97a7ce7afdd817c223e9ac64|ca9ff114ef0294d44570b2f047017c45|right|175|24|58|24|24|26.5|26.5|43|43|28|28|225|224.5|180|28|28|44.5|44.5|104.5|104|NA|142|142|cm|right|right|hazel|right|50|male|10|15|white|N/A
07455b8d275697db40dab95a03f3c208|d461230a8b9f2893ad1ec16580afbeb2|right|180|23|58.5|20.5|20.5|25|25|44.5|44.5|30.5|30.5|233|233|185|28|28|47|47|101.5|101.5|NA|145|145|cm|right|right|hazel|right|24|male|9|16|white|possible ancestry may include: spanish
00b0bc50a5d4c23ebdac6e69cebf284d|47216f67cbc4c6ce2dc9d6e41550496d|right|158|24.5|55.5|16.5|16.5|20|20|39|39|24|24|201|201|161.5|23|23|41.5|41.5|97|97.5|98|127.5|127.5|cm|right|right|blue-green|right|23|female|10|14|white|possible ancestry may include: german, irish
